frame,class,RHandLandmark.WRIST_0_x,RHandLandmark.WRIST_0_y,RHandLandmark.WRIST_0_z,RHandLandmark.THUMB_CMC_1_x,RHandLandmark.THUMB_CMC_1_y,RHandLandmark.THUMB_CMC_1_z,RHandLandmark.THUMB_MCP_2_x,RHandLandmark.THUMB_MCP_2_y,RHandLandmark.THUMB_MCP_2_z,RHandLandmark.THUMB_IP_3_x,RHandLandmark.THUMB_IP_3_y,RHandLandmark.THUMB_IP_3_z,RHandLandmark.THUMB_TIP_4_x,RHandLandmark.THUMB_TIP_4_y,RHandLandmark.THUMB_TIP_4_z,RHandLandmark.INDEX_FINGER_MCP_5_x,RHandLandmark.INDEX_FINGER_MCP_5_y,RHandLandmark.INDEX_FINGER_MCP_5_z,RHandLandmark.INDEX_FINGER_PIP_6_x,RHandLandmark.INDEX_FINGER_PIP_6_y,RHandLandmark.INDEX_FINGER_PIP_6_z,RHandLandmark.INDEX_FINGER_DIP_7_x,RHandLandmark.INDEX_FINGER_DIP_7_y,RHandLandmark.INDEX_FINGER_DIP_7_z,RHandLandmark.INDEX_FINGER_TIP_8_x,RHandLandmark.INDEX_FINGER_TIP_8_y,RHandLandmark.INDEX_FINGER_TIP_8_z,RHandLandmark.MIDDLE_FINGER_MCP_9_x,RHandLandmark.MIDDLE_FINGER_MCP_9_y,RHandLandmark.MIDDLE_FINGER_MCP_9_z,RHandLandmark.MIDDLE_FINGER_PIP_10_x,RHandLandmark.MIDDLE_FINGER_PIP_10_y,RHandLandmark.MIDDLE_FINGER_PIP_10_z,RHandLandmark.MIDDLE_FINGER_DIP_11_x,RHandLandmark.MIDDLE_FINGER_DIP_11_y,RHandLandmark.MIDDLE_FINGER_DIP_11_z,RHandLandmark.MIDDLE_FINGER_TIP_12_x,RHandLandmark.MIDDLE_FINGER_TIP_12_y,RHandLandmark.MIDDLE_FINGER_TIP_12_z,RHandLandmark.RING_FINGER_MCP_13_x,RHandLandmark.RING_FINGER_MCP_13_y,RHandLandmark.RING_FINGER_MCP_13_z,RHandLandmark.RING_FINGER_PIP_14_x,RHandLandmark.RING_FINGER_PIP_14_y,RHandLandmark.RING_FINGER_PIP_14_z,RHandLandmark.RING_FINGER_DIP_15_x,RHandLandmark.RING_FINGER_DIP_15_y,RHandLandmark.RING_FINGER_DIP_15_z,RHandLandmark.RING_FINGER_TIP_16_x,RHandLandmark.RING_FINGER_TIP_16_y,RHandLandmark.RING_FINGER_TIP_16_z,RHandLandmark.PINKY_MCP_17_x,RHandLandmark.PINKY_MCP_17_y,RHandLandmark.PINKY_MCP_17_z,RHandLandmark.PINKY_PIP_18_x,RHandLandmark.PINKY_PIP_18_y,RHandLandmark.PINKY_PIP_18_z,RHandLandmark.PINKY_DIP_19_x,RHandLandmark.PINKY_DIP_19_y,RHandLandmark.PINKY_DIP_19_z,RHandLandmark.PINKY_TIP_20_x,RHandLandmark.PINKY_TIP_20_y,RHandLandmark.PINKY_TIP_20_z,LHandLandmark.WRIST_0_x,LHandLandmark.WRIST_0_y,LHandLandmark.WRIST_0_z,LHandLandmark.THUMB_CMC_1_x,LHandLandmark.THUMB_CMC_1_y,LHandLandmark.THUMB_CMC_1_z,LHandLandmark.THUMB_MCP_2_x,LHandLandmark.THUMB_MCP_2_y,LHandLandmark.THUMB_MCP_2_z,LHandLandmark.THUMB_IP_3_x,LHandLandmark.THUMB_IP_3_y,LHandLandmark.THUMB_IP_3_z,LHandLandmark.THUMB_TIP_4_x,LHandLandmark.THUMB_TIP_4_y,LHandLandmark.THUMB_TIP_4_z,LHandLandmark.INDEX_FINGER_MCP_5_x,LHandLandmark.INDEX_FINGER_MCP_5_y,LHandLandmark.INDEX_FINGER_MCP_5_z,LHandLandmark.INDEX_FINGER_PIP_6_x,LHandLandmark.INDEX_FINGER_PIP_6_y,LHandLandmark.INDEX_FINGER_PIP_6_z,LHandLandmark.INDEX_FINGER_DIP_7_x,LHandLandmark.INDEX_FINGER_DIP_7_y,LHandLandmark.INDEX_FINGER_DIP_7_z,LHandLandmark.INDEX_FINGER_TIP_8_x,LHandLandmark.INDEX_FINGER_TIP_8_y,LHandLandmark.INDEX_FINGER_TIP_8_z,LHandLandmark.MIDDLE_FINGER_MCP_9_x,LHandLandmark.MIDDLE_FINGER_MCP_9_y,LHandLandmark.MIDDLE_FINGER_MCP_9_z,LHandLandmark.MIDDLE_FINGER_PIP_10_x,LHandLandmark.MIDDLE_FINGER_PIP_10_y,LHandLandmark.MIDDLE_FINGER_PIP_10_z,LHandLandmark.MIDDLE_FINGER_DIP_11_x,LHandLandmark.MIDDLE_FINGER_DIP_11_y,LHandLandmark.MIDDLE_FINGER_DIP_11_z,LHandLandmark.MIDDLE_FINGER_TIP_12_x,LHandLandmark.MIDDLE_FINGER_TIP_12_y,LHandLandmark.MIDDLE_FINGER_TIP_12_z,LHandLandmark.RING_FINGER_MCP_13_x,LHandLandmark.RING_FINGER_MCP_13_y,LHandLandmark.RING_FINGER_MCP_13_z,LHandLandmark.RING_FINGER_PIP_14_x,LHandLandmark.RING_FINGER_PIP_14_y,LHandLandmark.RING_FINGER_PIP_14_z,LHandLandmark.RING_FINGER_DIP_15_x,LHandLandmark.RING_FINGER_DIP_15_y,LHandLandmark.RING_FINGER_DIP_15_z,LHandLandmark.RING_FINGER_TIP_16_x,LHandLandmark.RING_FINGER_TIP_16_y,LHandLandmark.RING_FINGER_TIP_16_z,LHandLandmark.PINKY_MCP_17_x,LHandLandmark.PINKY_MCP_17_y,LHandLandmark.PINKY_MCP_17_z,LHandLandmark.PINKY_PIP_18_x,LHandLandmark.PINKY_PIP_18_y,LHandLandmark.PINKY_PIP_18_z,LHandLandmark.PINKY_DIP_19_x,LHandLandmark.PINKY_DIP_19_y,LHandLandmark.PINKY_DIP_19_z,LHandLandmark.PINKY_TIP_20_x,LHandLandmark.PINKY_TIP_20_y,LHandLandmark.PINKY_TIP_20_z,PoseLandmark.NOSE_0_x,PoseLandmark.NOSE_0_y,PoseLandmark.NOSE_0_z,PoseLandmark.LEFT_EYE_INNER_1_x,PoseLandmark.LEFT_EYE_INNER_1_y,PoseLandmark.LEFT_EYE_INNER_1_z,PoseLandmark.LEFT_EYE_2_x,PoseLandmark.LEFT_EYE_2_y,PoseLandmark.LEFT_EYE_2_z,PoseLandmark.LEFT_EYE_OUTER_3_x,PoseLandmark.LEFT_EYE_OUTER_3_y,PoseLandmark.LEFT_EYE_OUTER_3_z,PoseLandmark.RIGHT_EYE_INNER_4_x,PoseLandmark.RIGHT_EYE_INNER_4_y,PoseLandmark.RIGHT_EYE_INNER_4_z,PoseLandmark.RIGHT_EYE_5_x,PoseLandmark.RIGHT_EYE_5_y,PoseLandmark.RIGHT_EYE_5_z,PoseLandmark.RIGHT_EYE_OUTER_6_x,PoseLandmark.RIGHT_EYE_OUTER_6_y,PoseLandmark.RIGHT_EYE_OUTER_6_z,PoseLandmark.LEFT_EAR_7_x,PoseLandmark.LEFT_EAR_7_y,PoseLandmark.LEFT_EAR_7_z,PoseLandmark.RIGHT_EAR_8_x,PoseLandmark.RIGHT_EAR_8_y,PoseLandmark.RIGHT_EAR_8_z,PoseLandmark.MOUTH_LEFT_9_x,PoseLandmark.MOUTH_LEFT_9_y,PoseLandmark.MOUTH_LEFT_9_z,PoseLandmark.MOUTH_RIGHT_10_x,PoseLandmark.MOUTH_RIGHT_10_y,PoseLandmark.MOUTH_RIGHT_10_z,PoseLandmark.LEFT_SHOULDER_11_x,PoseLandmark.LEFT_SHOULDER_11_y,PoseLandmark.LEFT_SHOULDER_11_z,PoseLandmark.RIGHT_SHOULDER_12_x,PoseLandmark.RIGHT_SHOULDER_12_y,PoseLandmark.RIGHT_SHOULDER_12_z,PoseLandmark.LEFT_ELBOW_13_x,PoseLandmark.LEFT_ELBOW_13_y,PoseLandmark.LEFT_ELBOW_13_z,PoseLandmark.RIGHT_ELBOW_14_x,PoseLandmark.RIGHT_ELBOW_14_y,PoseLandmark.RIGHT_ELBOW_14_z
1,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5910986065864563,0.4999381899833679,-0.5085525512695312,0.5826267004013062,0.4568644165992737,-0.45454904437065125,0.5863194465637207,0.4569692611694336,-0.45443546772003174,0.5899187326431274,0.45683181285858154,-0.45490947365760803,0.5614065527915955,0.45556584000587463,-0.4957523047924042,0.5499148964881897,0.45521295070648193,-0.4953885078430176,0.5383021831512451,0.4551730453968048,-0.4955845773220062,0.5593578815460205,0.4753692150115967,-0.14420796930789948,0.49291539192199707,0.47644540667533875,-0.32135793566703796,0.5933791995048523,0.550082266330719,-0.39122992753982544,0.5631605982780457,0.5495340824127197,-0.4425952732563019,0.6224241256713867,0.7192237973213196,0.002555655315518379,0.3505855202674866,0.7303054332733154,-0.26547712087631226,0.6826072931289673,0.9638479351997375,0.1001080796122551,0.28348156809806824,1.0745153427124023,-0.4821031093597412
2,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904484987258911,0.5006682276725769,-0.7043894529342651,0.5821937322616577,0.45732375979423523,-0.6501070261001587,0.5859086513519287,0.4570896327495575,-0.6499044895172119,0.5894536972045898,0.4568307399749756,-0.6503195762634277,0.560575544834137,0.45737889409065247,-0.6905892491340637,0.5487810373306274,0.45759907364845276,-0.6903464198112488,0.5367544293403625,0.4583284556865692,-0.6905345320701599,0.5588560700416565,0.47517603635787964,-0.30906400084495544,0.492429256439209,0.47777318954467773,-0.4853992462158203,0.5926812887191772,0.550091564655304,-0.5729736089706421,0.5620760917663574,0.5523412227630615,-0.6242138147354126,0.6223260760307312,0.7204114198684692,-0.12012573331594467,0.35136520862579346,0.7304599285125732,-0.3791790306568146,0.6806700825691223,1.0309749841690063,0.03365927189588547,0.3021093010902405,1.0774195194244385,-0.557170569896698
3,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5896806716918945,0.5011205673217773,-1.021697759628296,0.5822244882583618,0.45820730924606323,-0.9676055908203125,0.5861133933067322,0.4575890004634857,-0.9673162698745728,0.5899096727371216,0.45704782009124756,-0.9676657319068909,0.5601184964179993,0.45860835909843445,-1.014432668685913,0.5479103326797485,0.4586217701435089,-1.0142483711242676,0.5353677868843079,0.4591445028781891,-1.01443612575531,0.5609747171401978,0.47458088397979736,-0.5936645269393921,0.4919566512107849,0.4771731197834015,-0.8001885414123535,0.5919528603553772,0.5500164031982422,-0.8754546642303467,0.5599586963653564,0.5529448390007019,-0.9352482557296753,0.6232999563217163,0.7223423719406128,-0.34908974170684814,0.3495628833770752,0.7321608662605286,-0.637698769569397,0.68068528175354,1.052193284034729,-0.1704947054386139,0.31412768363952637,1.082199215888977,-0.7501708269119263
4,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879763960838318,0.5010526776313782,-1.0225365161895752,0.5820282101631165,0.4581991136074066,-0.9665655493736267,0.5860987901687622,0.4575372338294983,-0.9662997126579285,0.5899521112442017,0.45691707730293274,-0.9666591286659241,0.5588042140007019,0.45860111713409424,-1.0121197700500488,0.546154260635376,0.45860615372657776,-1.0119602680206299,0.5331717133522034,0.45912033319473267,-1.0121487379074097,0.5616141557693481,0.4738917648792267,-0.5913791656494141,0.4901207387447357,0.4761776626110077,-0.7926449775695801,0.5905523300170898,0.5495171546936035,-0.8767821192741394,0.5572479367256165,0.5528753995895386,-0.9351685047149658,0.6240426898002625,0.7247073650360107,-0.3496638238430023,0.3477467894554138,0.7340897917747498,-0.6361715197563171,0.6807776093482971,1.0586655139923096,-0.17746220529079437,0.3152134120464325,1.0826311111450195,-0.7661193013191223
5,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5867987871170044,0.5006853342056274,-1.033652424812317,0.5817254185676575,0.45808145403862,-0.9780378937721252,0.5860295295715332,0.45733633637428284,-0.9777635931968689,0.5899568200111389,0.45661336183547974,-0.9781244397163391,0.5576362013816833,0.45856237411499023,-1.0221116542816162,0.5447819232940674,0.45857182145118713,-1.0219507217407227,0.531658411026001,0.45909810066223145,-1.0221142768859863,0.561821460723877,0.47329553961753845,-0.6019250750541687,0.48884317278862,0.4755294919013977,-0.7959351539611816,0.5896947383880615,0.5489053130149841,-0.8875130414962769,0.5557090044021606,0.5525944232940674,-0.9437816143035889,0.6248030662536621,0.726132333278656,-0.3561306297779083,0.34700602293014526,0.7355362176895142,-0.6351324915885925,0.6819826364517212,1.0605109930038452,-0.178025022149086,0.31332528591156006,1.0827357769012451,-0.7659168839454651
6,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853404998779297,0.5007909536361694,-1.049492359161377,0.5816482305526733,0.4581628441810608,-0.9932650327682495,0.5861130356788635,0.457396537065506,-0.9929991960525513,0.5905265808105469,0.4566529393196106,-0.9933875203132629,0.5562829971313477,0.4586317539215088,-1.0361603498458862,0.5430851578712463,0.45861825346946716,-1.0359793901443481,0.5295718312263489,0.45910874009132385,-1.0361372232437134,0.5658221244812012,0.4732927978038788,-0.6095648407936096,0.48717543482780457,0.4750065505504608,-0.7978821396827698,0.5893218517303467,0.5488994717597961,-0.9001429080963135,0.5540624856948853,0.5528331398963928,-0.954805314540863,0.625615656375885,0.7269901633262634,-0.35936516523361206,0.3462122678756714,0.7357010245323181,-0.6336669325828552,0.6833701133728027,1.0620858669281006,-0.19067886471748352,0.3126515746116638,1.0824775695800781,-0.7753035426139832
7,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853880643844604,0.5007156133651733,-0.9168596267700195,0.5818641781806946,0.45816153287887573,-0.8606482744216919,0.5865464806556702,0.45738911628723145,-0.8604292273521423,0.5911885499954224,0.45663148164749146,-0.8608354926109314,0.5562954545021057,0.45861586928367615,-0.9024642109870911,0.5431413650512695,0.4585859775543213,-0.9022518992424011,0.5296866297721863,0.45905807614326477,-0.902416467666626,0.5669646263122559,0.47307392954826355,-0.49549487233161926,0.4872734546661377,0.4744431972503662,-0.679907500743866,0.5893312692642212,0.548367440700531,-0.7756155729293823,0.5541870594024658,0.5528209209442139,-0.8287588953971863,0.626334547996521,0.7267873287200928,-0.2757846713066101,0.34623172879219055,0.7353869080543518,-0.5485610365867615,0.6870848536491394,1.0570645332336426,-0.1251373291015625,0.3118145167827606,1.078450322151184,-0.7103012204170227
8,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5855064392089844,0.49896371364593506,-0.7171800136566162,0.5817077159881592,0.4568214416503906,-0.6631247997283936,0.5862787961959839,0.4558279812335968,-0.6629183888435364,0.5907365083694458,0.4547797739505768,-0.6633716225624084,0.5563036799430847,0.45773157477378845,-0.7011216282844543,0.5431804656982422,0.4579372704029083,-0.7008737921714783,0.5297771692276001,0.4586681127548218,-0.7010385394096375,0.5646082162857056,0.47086793184280396,-0.3232751786708832,0.48730573058128357,0.47429749369621277,-0.48798301815986633,0.5893259048461914,0.5461544394493103,-0.5863187909126282,0.5543201565742493,0.551750659942627,-0.6342584490776062,0.6263107061386108,0.7261508703231812,-0.13754010200500488,0.3472546935081482,0.7340490818023682,-0.3902335464954376,0.6870471239089966,1.0533866882324219,0.016293810680508614,0.3093467652797699,1.0632805824279785,-0.5866085290908813
9,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5869957208633423,0.49800634384155273,-0.6632010340690613,0.5817574858665466,0.4560641050338745,-0.6130961179733276,0.5862301588058472,0.4548368752002716,-0.612922728061676,0.5903359055519104,0.4535016417503357,-0.613383948802948,0.5573610067367554,0.4574476182460785,-0.6524584293365479,0.5445437431335449,0.45778992772102356,-0.6522068977355957,0.5315378904342651,0.4586300253868103,-0.6523765921592712,0.5609207153320312,0.4695061147212982,-0.29038846492767334,0.48938578367233276,0.4742879271507263,-0.45963993668556213,0.5893643498420715,0.5448217391967773,-0.5382230877876282,0.5554890036582947,0.5513709783554077,-0.5876187682151794,0.6253939867019653,0.723623514175415,-0.10999671369791031,0.3484317660331726,0.7310943603515625,-0.368790864944458,0.6840057969093323,1.051262617111206,0.06919489800930023,0.3075407147407532,1.056549072265625,-0.5478624701499939
10,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5903323292732239,0.49778100848197937,-0.7097744345664978,0.5828409790992737,0.4559512436389923,-0.658168375492096,0.5864891409873962,0.4546200633049011,-0.6579811573028564,0.5903159379959106,0.45315906405448914,-0.6584186553955078,0.5613815188407898,0.45743870735168457,-0.699752926826477,0.5493335127830505,0.4577753245830536,-0.6995095610618591,0.5369799733161926,0.4586084485054016,-0.6996878385543823,0.5580581426620483,0.46896958351135254,-0.3220597207546234,0.49422988295555115,0.4742255210876465,-0.46804317831993103,0.5895018577575684,0.5444599390029907,-0.5814342498779297,0.5585261583328247,0.5509225726127625,-0.6333004832267761,0.6249992251396179,0.7236209511756897,-0.12267083674669266,0.3485657870769501,0.730553150177002,-0.4022851884365082,0.6814541816711426,1.0555083751678467,0.03315751254558563,0.3073491156101227,1.0574378967285156,-0.5709625482559204
