frame,class,RHandLandmark.WRIST_0_x,RHandLandmark.WRIST_0_y,RHandLandmark.WRIST_0_z,RHandLandmark.THUMB_CMC_1_x,RHandLandmark.THUMB_CMC_1_y,RHandLandmark.THUMB_CMC_1_z,RHandLandmark.THUMB_MCP_2_x,RHandLandmark.THUMB_MCP_2_y,RHandLandmark.THUMB_MCP_2_z,RHandLandmark.THUMB_IP_3_x,RHandLandmark.THUMB_IP_3_y,RHandLandmark.THUMB_IP_3_z,RHandLandmark.THUMB_TIP_4_x,RHandLandmark.THUMB_TIP_4_y,RHandLandmark.THUMB_TIP_4_z,RHandLandmark.INDEX_FINGER_MCP_5_x,RHandLandmark.INDEX_FINGER_MCP_5_y,RHandLandmark.INDEX_FINGER_MCP_5_z,RHandLandmark.INDEX_FINGER_PIP_6_x,RHandLandmark.INDEX_FINGER_PIP_6_y,RHandLandmark.INDEX_FINGER_PIP_6_z,RHandLandmark.INDEX_FINGER_DIP_7_x,RHandLandmark.INDEX_FINGER_DIP_7_y,RHandLandmark.INDEX_FINGER_DIP_7_z,RHandLandmark.INDEX_FINGER_TIP_8_x,RHandLandmark.INDEX_FINGER_TIP_8_y,RHandLandmark.INDEX_FINGER_TIP_8_z,RHandLandmark.MIDDLE_FINGER_MCP_9_x,RHandLandmark.MIDDLE_FINGER_MCP_9_y,RHandLandmark.MIDDLE_FINGER_MCP_9_z,RHandLandmark.MIDDLE_FINGER_PIP_10_x,RHandLandmark.MIDDLE_FINGER_PIP_10_y,RHandLandmark.MIDDLE_FINGER_PIP_10_z,RHandLandmark.MIDDLE_FINGER_DIP_11_x,RHandLandmark.MIDDLE_FINGER_DIP_11_y,RHandLandmark.MIDDLE_FINGER_DIP_11_z,RHandLandmark.MIDDLE_FINGER_TIP_12_x,RHandLandmark.MIDDLE_FINGER_TIP_12_y,RHandLandmark.MIDDLE_FINGER_TIP_12_z,RHandLandmark.RING_FINGER_MCP_13_x,RHandLandmark.RING_FINGER_MCP_13_y,RHandLandmark.RING_FINGER_MCP_13_z,RHandLandmark.RING_FINGER_PIP_14_x,RHandLandmark.RING_FINGER_PIP_14_y,RHandLandmark.RING_FINGER_PIP_14_z,RHandLandmark.RING_FINGER_DIP_15_x,RHandLandmark.RING_FINGER_DIP_15_y,RHandLandmark.RING_FINGER_DIP_15_z,RHandLandmark.RING_FINGER_TIP_16_x,RHandLandmark.RING_FINGER_TIP_16_y,RHandLandmark.RING_FINGER_TIP_16_z,RHandLandmark.PINKY_MCP_17_x,RHandLandmark.PINKY_MCP_17_y,RHandLandmark.PINKY_MCP_17_z,RHandLandmark.PINKY_PIP_18_x,RHandLandmark.PINKY_PIP_18_y,RHandLandmark.PINKY_PIP_18_z,RHandLandmark.PINKY_DIP_19_x,RHandLandmark.PINKY_DIP_19_y,RHandLandmark.PINKY_DIP_19_z,RHandLandmark.PINKY_TIP_20_x,RHandLandmark.PINKY_TIP_20_y,RHandLandmark.PINKY_TIP_20_z,LHandLandmark.WRIST_0_x,LHandLandmark.WRIST_0_y,LHandLandmark.WRIST_0_z,LHandLandmark.THUMB_CMC_1_x,LHandLandmark.THUMB_CMC_1_y,LHandLandmark.THUMB_CMC_1_z,LHandLandmark.THUMB_MCP_2_x,LHandLandmark.THUMB_MCP_2_y,LHandLandmark.THUMB_MCP_2_z,LHandLandmark.THUMB_IP_3_x,LHandLandmark.THUMB_IP_3_y,LHandLandmark.THUMB_IP_3_z,LHandLandmark.THUMB_TIP_4_x,LHandLandmark.THUMB_TIP_4_y,LHandLandmark.THUMB_TIP_4_z,LHandLandmark.INDEX_FINGER_MCP_5_x,LHandLandmark.INDEX_FINGER_MCP_5_y,LHandLandmark.INDEX_FINGER_MCP_5_z,LHandLandmark.INDEX_FINGER_PIP_6_x,LHandLandmark.INDEX_FINGER_PIP_6_y,LHandLandmark.INDEX_FINGER_PIP_6_z,LHandLandmark.INDEX_FINGER_DIP_7_x,LHandLandmark.INDEX_FINGER_DIP_7_y,LHandLandmark.INDEX_FINGER_DIP_7_z,LHandLandmark.INDEX_FINGER_TIP_8_x,LHandLandmark.INDEX_FINGER_TIP_8_y,LHandLandmark.INDEX_FINGER_TIP_8_z,LHandLandmark.MIDDLE_FINGER_MCP_9_x,LHandLandmark.MIDDLE_FINGER_MCP_9_y,LHandLandmark.MIDDLE_FINGER_MCP_9_z,LHandLandmark.MIDDLE_FINGER_PIP_10_x,LHandLandmark.MIDDLE_FINGER_PIP_10_y,LHandLandmark.MIDDLE_FINGER_PIP_10_z,LHandLandmark.MIDDLE_FINGER_DIP_11_x,LHandLandmark.MIDDLE_FINGER_DIP_11_y,LHandLandmark.MIDDLE_FINGER_DIP_11_z,LHandLandmark.MIDDLE_FINGER_TIP_12_x,LHandLandmark.MIDDLE_FINGER_TIP_12_y,LHandLandmark.MIDDLE_FINGER_TIP_12_z,LHandLandmark.RING_FINGER_MCP_13_x,LHandLandmark.RING_FINGER_MCP_13_y,LHandLandmark.RING_FINGER_MCP_13_z,LHandLandmark.RING_FINGER_PIP_14_x,LHandLandmark.RING_FINGER_PIP_14_y,LHandLandmark.RING_FINGER_PIP_14_z,LHandLandmark.RING_FINGER_DIP_15_x,LHandLandmark.RING_FINGER_DIP_15_y,LHandLandmark.RING_FINGER_DIP_15_z,LHandLandmark.RING_FINGER_TIP_16_x,LHandLandmark.RING_FINGER_TIP_16_y,LHandLandmark.RING_FINGER_TIP_16_z,LHandLandmark.PINKY_MCP_17_x,LHandLandmark.PINKY_MCP_17_y,LHandLandmark.PINKY_MCP_17_z,LHandLandmark.PINKY_PIP_18_x,LHandLandmark.PINKY_PIP_18_y,LHandLandmark.PINKY_PIP_18_z,LHandLandmark.PINKY_DIP_19_x,LHandLandmark.PINKY_DIP_19_y,LHandLandmark.PINKY_DIP_19_z,LHandLandmark.PINKY_TIP_20_x,LHandLandmark.PINKY_TIP_20_y,LHandLandmark.PINKY_TIP_20_z,PoseLandmark.NOSE_0_x,PoseLandmark.NOSE_0_y,PoseLandmark.NOSE_0_z,PoseLandmark.LEFT_EYE_INNER_1_x,PoseLandmark.LEFT_EYE_INNER_1_y,PoseLandmark.LEFT_EYE_INNER_1_z,PoseLandmark.LEFT_EYE_2_x,PoseLandmark.LEFT_EYE_2_y,PoseLandmark.LEFT_EYE_2_z,PoseLandmark.LEFT_EYE_OUTER_3_x,PoseLandmark.LEFT_EYE_OUTER_3_y,PoseLandmark.LEFT_EYE_OUTER_3_z,PoseLandmark.RIGHT_EYE_INNER_4_x,PoseLandmark.RIGHT_EYE_INNER_4_y,PoseLandmark.RIGHT_EYE_INNER_4_z,PoseLandmark.RIGHT_EYE_5_x,PoseLandmark.RIGHT_EYE_5_y,PoseLandmark.RIGHT_EYE_5_z,PoseLandmark.RIGHT_EYE_OUTER_6_x,PoseLandmark.RIGHT_EYE_OUTER_6_y,PoseLandmark.RIGHT_EYE_OUTER_6_z,PoseLandmark.LEFT_EAR_7_x,PoseLandmark.LEFT_EAR_7_y,PoseLandmark.LEFT_EAR_7_z,PoseLandmark.RIGHT_EAR_8_x,PoseLandmark.RIGHT_EAR_8_y,PoseLandmark.RIGHT_EAR_8_z,PoseLandmark.MOUTH_LEFT_9_x,PoseLandmark.MOUTH_LEFT_9_y,PoseLandmark.MOUTH_LEFT_9_z,PoseLandmark.MOUTH_RIGHT_10_x,PoseLandmark.MOUTH_RIGHT_10_y,PoseLandmark.MOUTH_RIGHT_10_z,PoseLandmark.LEFT_SHOULDER_11_x,PoseLandmark.LEFT_SHOULDER_11_y,PoseLandmark.LEFT_SHOULDER_11_z,PoseLandmark.RIGHT_SHOULDER_12_x,PoseLandmark.RIGHT_SHOULDER_12_y,PoseLandmark.RIGHT_SHOULDER_12_z,PoseLandmark.LEFT_ELBOW_13_x,PoseLandmark.LEFT_ELBOW_13_y,PoseLandmark.LEFT_ELBOW_13_z,PoseLandmark.RIGHT_ELBOW_14_x,PoseLandmark.RIGHT_ELBOW_14_y,PoseLandmark.RIGHT_ELBOW_14_z
1,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6164997220039368,0.5438092947006226,-0.11534343659877777,0.6120005249977112,0.5025728940963745,-0.052789200097322464,0.6154213547706604,0.5035199522972107,-0.0528460368514061,0.6185768246650696,0.5044739246368408,-0.05345164239406586,0.5935145616531372,0.4980413317680359,-0.1047857478260994,0.5831431150436401,0.49671071767807007,-0.10478334128856659,0.5709069967269897,0.4963039755821228,-0.10517936944961548,0.5919923782348633,0.513998806476593,0.2450273334980011,0.5226253271102905,0.5165150761604309,0.02516324631869793,0.6171910762786865,0.5900240540504456,-0.0031631712336093187,0.5904732942581177,0.5861278176307678,-0.07000047713518143,0.6266322135925293,0.7425088286399841,0.3792596459388733,0.3752880394458771,0.6854958534240723,-0.013156193308532238,0.6900716423988342,0.989890456199646,0.6665457487106323,0.0914154052734375,0.6124562621116638,-0.5575068593025208
2,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6165205240249634,0.5481947064399719,-0.346549928188324,0.6125302314758301,0.5072001218795776,-0.2863631546497345,0.6157404780387878,0.5081369280815125,-0.2862683832645416,0.618698000907898,0.5090222954750061,-0.28693076968193054,0.5938592553138733,0.5015923976898193,-0.3293020725250244,0.5832710862159729,0.49954310059547424,-0.32932162284851074,0.5710546374320984,0.4983768165111542,-0.32967910170555115,0.5918368697166443,0.5175277590751648,0.03984399139881134,0.5229148864746094,0.5162982940673828,-0.14698827266693115,0.6152612566947937,0.5906983613967896,-0.22423236072063446,0.587996780872345,0.5885132551193237,-0.28117620944976807,0.6264470219612122,0.7479130029678345,0.15064965188503265,0.374893456697464,0.6895246505737305,-0.11977236717939377,0.693385660648346,1.035791039466858,0.2982732355594635,0.09250474721193314,0.6192145347595215,-0.6822091341018677
3,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6168243288993835,0.5511987805366516,-0.36677101254463196,0.6138089299201965,0.5110675096511841,-0.3056403398513794,0.6168287992477417,0.5117704272270203,-0.3055068552494049,0.6195197701454163,0.5124484300613403,-0.3061380684375763,0.5948598980903625,0.5059888958930969,-0.3499096930027008,0.5839298963546753,0.5039300322532654,-0.3500148057937622,0.5716891884803772,0.502747654914856,-0.3504391610622406,0.5926305651664734,0.5200831890106201,0.028501490131020546,0.524323582649231,0.5165831446647644,-0.16482852399349213,0.6149296760559082,0.5916875004768372,-0.2411220669746399,0.5871713161468506,0.5920915603637695,-0.2999418079853058,0.6258456110954285,0.7510557770729065,0.15488086640834808,0.37445777654647827,0.6913956999778748,-0.13763414323329926,0.6934815645217896,1.0512475967407227,0.30597740411758423,0.09424600750207901,0.620833694934845,-0.6752851605415344
4,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6172106266021729,0.5514614582061768,-0.3933103084564209,0.614346444606781,0.5117039084434509,-0.33254680037498474,0.617129921913147,0.5123173594474792,-0.3324676752090454,0.6196274161338806,0.5128720998764038,-0.3330386281013489,0.5958251953125,0.5063964128494263,-0.3764847218990326,0.5850672125816345,0.5041314363479614,-0.37649890780448914,0.5734726786613464,0.5028029680252075,-0.3769027590751648,0.5925479531288147,0.5201123356819153,-0.004603908862918615,0.527259349822998,0.5159727334976196,-0.1946755349636078,0.614354133605957,0.5916072726249695,-0.2712419629096985,0.5868722200393677,0.592012345790863,-0.32943326234817505,0.624833345413208,0.7518005967140198,0.11984805762767792,0.3743870258331299,0.6921427249908447,-0.15727010369300842,0.694520115852356,1.0464802980422974,0.27888235449790955,0.09737634658813477,0.6110253930091858,-0.7082938551902771
5,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6180247664451599,0.5514996647834778,-0.43959811329841614,0.6157860159873962,0.5117112994194031,-0.3786008954048157,0.6184534430503845,0.5123102068901062,-0.3784933090209961,0.6207795143127441,0.5128355622291565,-0.3791033625602722,0.5974105000495911,0.506472647190094,-0.42556992173194885,0.5867170095443726,0.5042514801025391,-0.42572021484375,0.5752604603767395,0.5029878616333008,-0.42618581652641296,0.5929456353187561,0.5200619697570801,-0.04219694808125496,0.5280906558036804,0.5160925388336182,-0.24693480134010315,0.6145628690719604,0.5915892124176025,-0.3134164810180664,0.5868053436279297,0.5926753282546997,-0.3758165240287781,0.6244285702705383,0.7525983452796936,0.10812335461378098,0.37426066398620605,0.6962047219276428,-0.21212619543075562,0.6944859027862549,1.05284583568573,0.3045371174812317,0.09888380020856857,0.6057720184326172,-0.7431707978248596
6,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182781457901001,0.5510162115097046,-0.4438168406486511,0.6161379218101501,0.5114732980728149,-0.3835633099079132,0.6188411712646484,0.5119733214378357,-0.383442223072052,0.6211594939231873,0.5123666524887085,-0.3840246796607971,0.597540020942688,0.506430983543396,-0.4284355938434601,0.5867500901222229,0.5041912198066711,-0.4286033511161804,0.5752333998680115,0.5029447674751282,-0.4290860891342163,0.5932707786560059,0.5194056630134583,-0.05003827065229416,0.5280807018280029,0.5160008668899536,-0.24457669258117676,0.6148982048034668,0.5903012752532959,-0.3187706470489502,0.5866607427597046,0.5924128890037537,-0.37824347615242004,0.6236068606376648,0.7532268762588501,0.10910285264253616,0.37547022104263306,0.6994898319244385,-0.21438832581043243,0.6917641758918762,1.0510534048080444,0.3484460711479187,0.10098586231470108,0.6011557579040527,-0.7286456227302551
7,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618735671043396,0.5507355332374573,-0.3760259747505188,0.616849958896637,0.5113736987113953,-0.31591132283210754,0.6195709705352783,0.5118857026100159,-0.31583040952682495,0.62188321352005,0.5122957825660706,-0.3163902759552002,0.5981515645980835,0.5063686370849609,-0.361192911863327,0.5872341990470886,0.5042353272438049,-0.36129486560821533,0.5754766464233398,0.5032016634941101,-0.3617858290672302,0.5941705703735352,0.5193831324577332,0.008931898511946201,0.5280368328094482,0.5165066123008728,-0.18639317154884338,0.6152476072311401,0.5899820923805237,-0.2541252076625824,0.5866700410842896,0.5923770666122437,-0.3138650059700012,0.6223031282424927,0.7537879943847656,0.14774632453918457,0.3787502348423004,0.7024503350257874,-0.17131906747817993,0.6762757897377014,0.997191846370697,0.38106486201286316,0.11229164153337479,0.5928196310997009,-0.6935927867889404
8,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6195092797279358,0.5498120188713074,-0.487746000289917,0.6173499226570129,0.5113083124160767,-0.43043550848960876,0.6200061440467834,0.5118011236190796,-0.43031182885169983,0.6222585439682007,0.5121806859970093,-0.43090638518333435,0.5989159941673279,0.5063135027885437,-0.47449490427970886,0.5881012678146362,0.5041975975036621,-0.474630743265152,0.5763486623764038,0.5031929612159729,-0.47510120272636414,0.5948190093040466,0.5193448662757874,-0.10110662132501602,0.5287854075431824,0.5165125727653503,-0.2925235331058502,0.6161229610443115,0.5892292261123657,-0.36369088292121887,0.587705671787262,0.5921737551689148,-0.42192739248275757,0.6221516728401184,0.7538061738014221,0.05717059224843979,0.38163766264915466,0.7035260796546936,-0.25583013892173767,0.6760672926902771,1.0066543817520142,0.2927037179470062,0.11745613068342209,0.5873207449913025,-0.745756208896637
9,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6205798983573914,0.5497743487358093,-0.5188242197036743,0.6178447604179382,0.5112842917442322,-0.4624812602996826,0.6202886700630188,0.5117339491844177,-0.46235737204551697,0.6224046945571899,0.5121128559112549,-0.46299219131469727,0.6002740859985352,0.5068226456642151,-0.5076994895935059,0.5897319912910461,0.5050082802772522,-0.5078344941139221,0.5781034231185913,0.5042358040809631,-0.5083079934120178,0.5948207378387451,0.5194857716560364,-0.13330012559890747,0.5297171473503113,0.517302930355072,-0.32972756028175354,0.6166924834251404,0.5892542600631714,-0.39431285858154297,0.5896506309509277,0.592414915561676,-0.4541013538837433,0.6222781538963318,0.7544452548027039,0.029319241642951965,0.3814765214920044,0.7056544423103333,-0.29242780804634094,0.6772335767745972,1.0275468826293945,0.27490290999412537,0.11611100286245346,0.5847828388214111,-0.7863680720329285
10,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622875988483429,0.5497366786003113,-0.4622746407985687,0.6193028688430786,0.5112248063087463,-0.40226122736930847,0.6214215755462646,0.5116742849349976,-0.4021832346916199,0.6232529878616333,0.5120524764060974,-0.402863085269928,0.6024948358535767,0.5068050622940063,-0.44945821166038513,0.5921865105628967,0.5050013661384583,-0.44960030913352966,0.5808231830596924,0.5042231678962708,-0.45005083084106445,0.5948599576950073,0.519609808921814,-0.07261946052312851,0.5327885150909424,0.5172421932220459,-0.27817752957344055,0.6176577210426331,0.5895450711250305,-0.3385944068431854,0.5913153290748596,0.5926302075386047,-0.40131378173828125,0.6224713325500488,0.7553621530532837,0.0693565085530281,0.3810237646102905,0.7074545621871948,-0.24893419444561005,0.6821594834327698,1.0403494834899902,0.30509650707244873,0.11573942750692368,0.5830425024032593,-0.7669814229011536
