frame,class,RHandLandmark.WRIST_0_x,RHandLandmark.WRIST_0_y,RHandLandmark.WRIST_0_z,RHandLandmark.THUMB_CMC_1_x,RHandLandmark.THUMB_CMC_1_y,RHandLandmark.THUMB_CMC_1_z,RHandLandmark.THUMB_MCP_2_x,RHandLandmark.THUMB_MCP_2_y,RHandLandmark.THUMB_MCP_2_z,RHandLandmark.THUMB_IP_3_x,RHandLandmark.THUMB_IP_3_y,RHandLandmark.THUMB_IP_3_z,RHandLandmark.THUMB_TIP_4_x,RHandLandmark.THUMB_TIP_4_y,RHandLandmark.THUMB_TIP_4_z,RHandLandmark.INDEX_FINGER_MCP_5_x,RHandLandmark.INDEX_FINGER_MCP_5_y,RHandLandmark.INDEX_FINGER_MCP_5_z,RHandLandmark.INDEX_FINGER_PIP_6_x,RHandLandmark.INDEX_FINGER_PIP_6_y,RHandLandmark.INDEX_FINGER_PIP_6_z,RHandLandmark.INDEX_FINGER_DIP_7_x,RHandLandmark.INDEX_FINGER_DIP_7_y,RHandLandmark.INDEX_FINGER_DIP_7_z,RHandLandmark.INDEX_FINGER_TIP_8_x,RHandLandmark.INDEX_FINGER_TIP_8_y,RHandLandmark.INDEX_FINGER_TIP_8_z,RHandLandmark.MIDDLE_FINGER_MCP_9_x,RHandLandmark.MIDDLE_FINGER_MCP_9_y,RHandLandmark.MIDDLE_FINGER_MCP_9_z,RHandLandmark.MIDDLE_FINGER_PIP_10_x,RHandLandmark.MIDDLE_FINGER_PIP_10_y,RHandLandmark.MIDDLE_FINGER_PIP_10_z,RHandLandmark.MIDDLE_FINGER_DIP_11_x,RHandLandmark.MIDDLE_FINGER_DIP_11_y,RHandLandmark.MIDDLE_FINGER_DIP_11_z,RHandLandmark.MIDDLE_FINGER_TIP_12_x,RHandLandmark.MIDDLE_FINGER_TIP_12_y,RHandLandmark.MIDDLE_FINGER_TIP_12_z,RHandLandmark.RING_FINGER_MCP_13_x,RHandLandmark.RING_FINGER_MCP_13_y,RHandLandmark.RING_FINGER_MCP_13_z,RHandLandmark.RING_FINGER_PIP_14_x,RHandLandmark.RING_FINGER_PIP_14_y,RHandLandmark.RING_FINGER_PIP_14_z,RHandLandmark.RING_FINGER_DIP_15_x,RHandLandmark.RING_FINGER_DIP_15_y,RHandLandmark.RING_FINGER_DIP_15_z,RHandLandmark.RING_FINGER_TIP_16_x,RHandLandmark.RING_FINGER_TIP_16_y,RHandLandmark.RING_FINGER_TIP_16_z,RHandLandmark.PINKY_MCP_17_x,RHandLandmark.PINKY_MCP_17_y,RHandLandmark.PINKY_MCP_17_z,RHandLandmark.PINKY_PIP_18_x,RHandLandmark.PINKY_PIP_18_y,RHandLandmark.PINKY_PIP_18_z,RHandLandmark.PINKY_DIP_19_x,RHandLandmark.PINKY_DIP_19_y,RHandLandmark.PINKY_DIP_19_z,RHandLandmark.PINKY_TIP_20_x,RHandLandmark.PINKY_TIP_20_y,RHandLandmark.PINKY_TIP_20_z,LHandLandmark.WRIST_0_x,LHandLandmark.WRIST_0_y,LHandLandmark.WRIST_0_z,LHandLandmark.THUMB_CMC_1_x,LHandLandmark.THUMB_CMC_1_y,LHandLandmark.THUMB_CMC_1_z,LHandLandmark.THUMB_MCP_2_x,LHandLandmark.THUMB_MCP_2_y,LHandLandmark.THUMB_MCP_2_z,LHandLandmark.THUMB_IP_3_x,LHandLandmark.THUMB_IP_3_y,LHandLandmark.THUMB_IP_3_z,LHandLandmark.THUMB_TIP_4_x,LHandLandmark.THUMB_TIP_4_y,LHandLandmark.THUMB_TIP_4_z,LHandLandmark.INDEX_FINGER_MCP_5_x,LHandLandmark.INDEX_FINGER_MCP_5_y,LHandLandmark.INDEX_FINGER_MCP_5_z,LHandLandmark.INDEX_FINGER_PIP_6_x,LHandLandmark.INDEX_FINGER_PIP_6_y,LHandLandmark.INDEX_FINGER_PIP_6_z,LHandLandmark.INDEX_FINGER_DIP_7_x,LHandLandmark.INDEX_FINGER_DIP_7_y,LHandLandmark.INDEX_FINGER_DIP_7_z,LHandLandmark.INDEX_FINGER_TIP_8_x,LHandLandmark.INDEX_FINGER_TIP_8_y,LHandLandmark.INDEX_FINGER_TIP_8_z,LHandLandmark.MIDDLE_FINGER_MCP_9_x,LHandLandmark.MIDDLE_FINGER_MCP_9_y,LHandLandmark.MIDDLE_FINGER_MCP_9_z,LHandLandmark.MIDDLE_FINGER_PIP_10_x,LHandLandmark.MIDDLE_FINGER_PIP_10_y,LHandLandmark.MIDDLE_FINGER_PIP_10_z,LHandLandmark.MIDDLE_FINGER_DIP_11_x,LHandLandmark.MIDDLE_FINGER_DIP_11_y,LHandLandmark.MIDDLE_FINGER_DIP_11_z,LHandLandmark.MIDDLE_FINGER_TIP_12_x,LHandLandmark.MIDDLE_FINGER_TIP_12_y,LHandLandmark.MIDDLE_FINGER_TIP_12_z,LHandLandmark.RING_FINGER_MCP_13_x,LHandLandmark.RING_FINGER_MCP_13_y,LHandLandmark.RING_FINGER_MCP_13_z,LHandLandmark.RING_FINGER_PIP_14_x,LHandLandmark.RING_FINGER_PIP_14_y,LHandLandmark.RING_FINGER_PIP_14_z,LHandLandmark.RING_FINGER_DIP_15_x,LHandLandmark.RING_FINGER_DIP_15_y,LHandLandmark.RING_FINGER_DIP_15_z,LHandLandmark.RING_FINGER_TIP_16_x,LHandLandmark.RING_FINGER_TIP_16_y,LHandLandmark.RING_FINGER_TIP_16_z,LHandLandmark.PINKY_MCP_17_x,LHandLandmark.PINKY_MCP_17_y,LHandLandmark.PINKY_MCP_17_z,LHandLandmark.PINKY_PIP_18_x,LHandLandmark.PINKY_PIP_18_y,LHandLandmark.PINKY_PIP_18_z,LHandLandmark.PINKY_DIP_19_x,LHandLandmark.PINKY_DIP_19_y,LHandLandmark.PINKY_DIP_19_z,LHandLandmark.PINKY_TIP_20_x,LHandLandmark.PINKY_TIP_20_y,LHandLandmark.PINKY_TIP_20_z,PoseLandmark.NOSE_0_x,PoseLandmark.NOSE_0_y,PoseLandmark.NOSE_0_z,PoseLandmark.LEFT_EYE_INNER_1_x,PoseLandmark.LEFT_EYE_INNER_1_y,PoseLandmark.LEFT_EYE_INNER_1_z,PoseLandmark.LEFT_EYE_2_x,PoseLandmark.LEFT_EYE_2_y,PoseLandmark.LEFT_EYE_2_z,PoseLandmark.LEFT_EYE_OUTER_3_x,PoseLandmark.LEFT_EYE_OUTER_3_y,PoseLandmark.LEFT_EYE_OUTER_3_z,PoseLandmark.RIGHT_EYE_INNER_4_x,PoseLandmark.RIGHT_EYE_INNER_4_y,PoseLandmark.RIGHT_EYE_INNER_4_z,PoseLandmark.RIGHT_EYE_5_x,PoseLandmark.RIGHT_EYE_5_y,PoseLandmark.RIGHT_EYE_5_z,PoseLandmark.RIGHT_EYE_OUTER_6_x,PoseLandmark.RIGHT_EYE_OUTER_6_y,PoseLandmark.RIGHT_EYE_OUTER_6_z,PoseLandmark.LEFT_EAR_7_x,PoseLandmark.LEFT_EAR_7_y,PoseLandmark.LEFT_EAR_7_z,PoseLandmark.RIGHT_EAR_8_x,PoseLandmark.RIGHT_EAR_8_y,PoseLandmark.RIGHT_EAR_8_z,PoseLandmark.MOUTH_LEFT_9_x,PoseLandmark.MOUTH_LEFT_9_y,PoseLandmark.MOUTH_LEFT_9_z,PoseLandmark.MOUTH_RIGHT_10_x,PoseLandmark.MOUTH_RIGHT_10_y,PoseLandmark.MOUTH_RIGHT_10_z,PoseLandmark.LEFT_SHOULDER_11_x,PoseLandmark.LEFT_SHOULDER_11_y,PoseLandmark.LEFT_SHOULDER_11_z,PoseLandmark.RIGHT_SHOULDER_12_x,PoseLandmark.RIGHT_SHOULDER_12_y,PoseLandmark.RIGHT_SHOULDER_12_z,PoseLandmark.LEFT_ELBOW_13_x,PoseLandmark.LEFT_ELBOW_13_y,PoseLandmark.LEFT_ELBOW_13_z,PoseLandmark.RIGHT_ELBOW_14_x,PoseLandmark.RIGHT_ELBOW_14_y,PoseLandmark.RIGHT_ELBOW_14_z
1,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5497485399246216,0.49107950925827026,-0.7831758856773376,0.5787268280982971,0.4430924355983734,-0.7522962689399719,0.5922726392745972,0.4454880654811859,-0.7523282766342163,0.6049081683158875,0.4488133192062378,-0.7527311444282532,0.5330138802528381,0.43680211901664734,-0.7344164848327637,0.519477128982544,0.4352228343486786,-0.7341359257698059,0.5090615153312683,0.4346555471420288,-0.7343452572822571,0.6301285028457642,0.4681275486946106,-0.4879795014858246,0.5027011036872864,0.4495094418525696,-0.3920341730117798,0.5766914486885071,0.5467230677604675,-0.680006742477417,0.5253432989120483,0.5414091944694519,-0.6534247994422913,0.7132994532585144,0.6901345252990723,-0.33354756236076355,0.4443363547325134,0.6567338109016418,-0.20066764950752258,0.7549015283584595,1.0399916172027588,-0.33214354515075684,0.40784329175949097,0.9756885766983032,-0.33469706773757935
2,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5493191480636597,0.4912247657775879,-0.8238032460212708,0.5785990357398987,0.44287410378456116,-0.799537718296051,0.5923049449920654,0.44491642713546753,-0.7995631098747253,0.6051092147827148,0.4479270279407501,-0.7998591661453247,0.5331080555915833,0.4368384778499603,-0.782737135887146,0.5197275280952454,0.4352298974990845,-0.7824669480323792,0.5091736316680908,0.4346199035644531,-0.7825942635536194,0.6296421885490417,0.4677285850048065,-0.5438709259033203,0.502252459526062,0.4498502016067505,-0.45183292031288147,0.5765047073364258,0.5467271208763123,-0.7228063344955444,0.5254982709884644,0.5414469838142395,-0.6975554823875427,0.7132620811462402,0.6911683082580566,-0.40402236580848694,0.4424632787704468,0.6609976291656494,-0.23374485969543457,0.7400340437889099,1.044617772102356,-0.4782632887363434,0.39934042096138,0.9498409032821655,-0.4100916087627411
3,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5488190650939941,0.49117565155029297,-0.8808842897415161,0.5783770680427551,0.44175130128860474,-0.8577136993408203,0.5923251509666443,0.4432523548603058,-0.857757031917572,0.6053197383880615,0.4460547864437103,-0.8580628633499146,0.5331589579582214,0.43643391132354736,-0.8420365452766418,0.5199636220932007,0.4346802830696106,-0.8418004512786865,0.5093483924865723,0.43381398916244507,-0.8419229388237,0.6295028328895569,0.4670920670032501,-0.6009286642074585,0.5021266937255859,0.44985148310661316,-0.5129604935646057,0.5762801170349121,0.5464083552360535,-0.778400719165802,0.5255522727966309,0.5411872267723083,-0.7545298337936401,0.7133296728134155,0.6912593245506287,-0.44520387053489685,0.44108426570892334,0.6635638475418091,-0.27551066875457764,0.7368861436843872,1.0474942922592163,-0.5099914073944092,0.39471516013145447,0.9741962552070618,-0.39893412590026855
4,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5481675267219543,0.4911125600337982,-0.95008784532547,0.5779620409011841,0.44076910614967346,-0.9258142709732056,0.5923038125038147,0.44190606474876404,-0.9258268475532532,0.6053640246391296,0.44456806778907776,-0.9261574745178223,0.5331560969352722,0.43606331944465637,-0.9116407036781311,0.5200139284133911,0.4342244863510132,-0.9115127921104431,0.5094076991081238,0.43319883942604065,-0.9116692543029785,0.6292724609375,0.46630793809890747,-0.6654371619224548,0.5019949078559875,0.44984471797943115,-0.5843997001647949,0.5759716033935547,0.5460491180419922,-0.8455395698547363,0.5255544185638428,0.5406826734542847,-0.8233789205551147,0.7135326862335205,0.6914599537849426,-0.48645761609077454,0.4396411180496216,0.6650257706642151,-0.34273070096969604,0.733431875705719,1.0477654933929443,-0.4979509711265564,0.39953815937042236,0.9555089473724365,-0.3881031572818756
5,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5471831560134888,0.49090108275413513,-0.9625430703163147,0.5775256752967834,0.439484566450119,-0.9396882057189941,0.5922248959541321,0.44032207131385803,-0.9396827816963196,0.6053669452667236,0.4428723156452179,-0.940008282661438,0.5331535339355469,0.43526431918144226,-0.9248037934303284,0.5200743079185486,0.4332474172115326,-0.9246709942817688,0.5094793438911438,0.43196985125541687,-0.924837052822113,0.6290481090545654,0.4652378261089325,-0.6824531555175781,0.5019950270652771,0.44949522614479065,-0.5982732772827148,0.5752430558204651,0.5452035665512085,-0.858840823173523,0.5255094170570374,0.5398024320602417,-0.8358714580535889,0.7138436436653137,0.691523551940918,-0.502285361289978,0.43874990940093994,0.6649361848831177,-0.35861068964004517,0.7328062653541565,1.0488693714141846,-0.5151931643486023,0.40131282806396484,0.9469971656799316,-0.3994726240634918
6,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546869158744812,0.48975154757499695,-0.8180860877037048,0.5775236487388611,0.43717166781425476,-0.7984949350357056,0.5923031568527222,0.43805113434791565,-0.798488199710846,0.60551518201828,0.4408089220523834,-0.7987785935401917,0.5333390831947327,0.43306344747543335,-0.780494749546051,0.5205226540565491,0.4308321177959442,-0.7802455425262451,0.5098791122436523,0.42935433983802795,-0.7803527116775513,0.6290194392204285,0.46444055438041687,-0.5558751225471497,0.502263069152832,0.44859299063682556,-0.4583164155483246,0.5749554634094238,0.5432913303375244,-0.7203146815299988,0.52549809217453,0.5380614995956421,-0.6940288543701172,0.7138506174087524,0.6911571621894836,-0.4373193383216858,0.4387732744216919,0.662272036075592,-0.2459673434495926,0.7327023148536682,1.0492664575576782,-0.5023837089538574,0.3995658755302429,0.9380894899368286,-0.4438737630844116
7,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468822121620178,0.4883008301258087,-0.7228939533233643,0.5779632329940796,0.4350929856300354,-0.6988496780395508,0.5929174423217773,0.4362466037273407,-0.6989066004753113,0.6060841679573059,0.4393334984779358,-0.699236273765564,0.533978283405304,0.4305107593536377,-0.6825760006904602,0.5214837193489075,0.4280823767185211,-0.6822678446769714,0.5107257962226868,0.426400750875473,-0.6823868155479431,0.6290155053138733,0.4640679359436035,-0.45219913125038147,0.502963662147522,0.4473515450954437,-0.36315643787384033,0.5749574303627014,0.5419479012489319,-0.6255059838294983,0.5256169438362122,0.5363622903823853,-0.6016663908958435,0.7136082649230957,0.6910430788993835,-0.3337685763835907,0.4385560154914856,0.6601141095161438,-0.16386356949806213,0.7331339120864868,1.0507307052612305,-0.5001043081283569,0.3722788393497467,0.9432784914970398,-0.44063007831573486
8,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5470897555351257,0.4865231215953827,-0.7664794325828552,0.5787182450294495,0.4331554174423218,-0.7412944436073303,0.593743085861206,0.4345153272151947,-0.7413561940193176,0.6067946553230286,0.4378041625022888,-0.7416977882385254,0.5348999500274658,0.42799997329711914,-0.7261897325515747,0.5227246284484863,0.4254094958305359,-0.7259368300437927,0.5118624567985535,0.4235813617706299,-0.7260906100273132,0.6290133595466614,0.4633428454399109,-0.48977601528167725,0.5042024850845337,0.44572779536247253,-0.39174166321754456,0.5749785900115967,0.5398563146591187,-0.6668643951416016,0.5259383916854858,0.5342150330543518,-0.6440088748931885,0.7135531902313232,0.6907161474227905,-0.35262492299079895,0.4378918409347534,0.6597463488578796,-0.1940237134695053,0.725124716758728,1.0506728887557983,-0.433319628238678,0.3735687732696533,0.9289721846580505,-0.3481493592262268
9,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547610342502594,0.48392027616500854,-0.6041008234024048,0.5803001523017883,0.4310663342475891,-0.58056640625,0.5951718091964722,0.4327436685562134,-0.5806213617324829,0.6078004837036133,0.4362225830554962,-0.5809667110443115,0.536631166934967,0.4248490631580353,-0.5642039775848389,0.5248537659645081,0.4219638407230377,-0.5638384222984314,0.5139399170875549,0.4198720157146454,-0.5639435052871704,0.6290647387504578,0.46247783303260803,-0.34949347376823425,0.506742000579834,0.44360408186912537,-0.2602202892303467,0.5750190019607544,0.5374271869659424,-0.5132703185081482,0.5263859033584595,0.5311850309371948,-0.4899558424949646,0.7130069732666016,0.6885800957679749,-0.2604633867740631,0.4378792345523834,0.6549341082572937,-0.0710955336689949,0.7256286144256592,1.05055570602417,-0.3763073980808258,0.3702419400215149,0.9151734709739685,-0.35634469985961914
10,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5480347871780396,0.4838535487651825,-0.795565664768219,0.5805410146713257,0.4310312867164612,-0.7782045602798462,0.5953975319862366,0.43268802762031555,-0.7782026529312134,0.6080302596092224,0.4360990524291992,-0.7785648107528687,0.536835789680481,0.4248630404472351,-0.7676669359207153,0.5250927805900574,0.42202460765838623,-0.7675682902336121,0.5141375660896301,0.41999682784080505,-0.7678115963935852,0.6290569305419922,0.46177613735198975,-0.5438296794891357,0.5068264603614807,0.44342702627182007,-0.4795481562614441,0.5754652619361877,0.5373237133026123,-0.6991231441497803,0.5270683765411377,0.5310575366020203,-0.6835207343101501,0.7129256725311279,0.6883382797241211,-0.36933135986328125,0.43705877661705017,0.6518281698226929,-0.25339722633361816,0.7199230790138245,1.0488686561584473,-0.36352789402008057,0.37352049350738525,0.915096640586853,-0.36285674571990967
