frame,class,RHandLandmark.WRIST_0_x,RHandLandmark.WRIST_0_y,RHandLandmark.WRIST_0_z,RHandLandmark.THUMB_CMC_1_x,RHandLandmark.THUMB_CMC_1_y,RHandLandmark.THUMB_CMC_1_z,RHandLandmark.THUMB_MCP_2_x,RHandLandmark.THUMB_MCP_2_y,RHandLandmark.THUMB_MCP_2_z,RHandLandmark.THUMB_IP_3_x,RHandLandmark.THUMB_IP_3_y,RHandLandmark.THUMB_IP_3_z,RHandLandmark.THUMB_TIP_4_x,RHandLandmark.THUMB_TIP_4_y,RHandLandmark.THUMB_TIP_4_z,RHandLandmark.INDEX_FINGER_MCP_5_x,RHandLandmark.INDEX_FINGER_MCP_5_y,RHandLandmark.INDEX_FINGER_MCP_5_z,RHandLandmark.INDEX_FINGER_PIP_6_x,RHandLandmark.INDEX_FINGER_PIP_6_y,RHandLandmark.INDEX_FINGER_PIP_6_z,RHandLandmark.INDEX_FINGER_DIP_7_x,RHandLandmark.INDEX_FINGER_DIP_7_y,RHandLandmark.INDEX_FINGER_DIP_7_z,RHandLandmark.INDEX_FINGER_TIP_8_x,RHandLandmark.INDEX_FINGER_TIP_8_y,RHandLandmark.INDEX_FINGER_TIP_8_z,RHandLandmark.MIDDLE_FINGER_MCP_9_x,RHandLandmark.MIDDLE_FINGER_MCP_9_y,RHandLandmark.MIDDLE_FINGER_MCP_9_z,RHandLandmark.MIDDLE_FINGER_PIP_10_x,RHandLandmark.MIDDLE_FINGER_PIP_10_y,RHandLandmark.MIDDLE_FINGER_PIP_10_z,RHandLandmark.MIDDLE_FINGER_DIP_11_x,RHandLandmark.MIDDLE_FINGER_DIP_11_y,RHandLandmark.MIDDLE_FINGER_DIP_11_z,RHandLandmark.MIDDLE_FINGER_TIP_12_x,RHandLandmark.MIDDLE_FINGER_TIP_12_y,RHandLandmark.MIDDLE_FINGER_TIP_12_z,RHandLandmark.RING_FINGER_MCP_13_x,RHandLandmark.RING_FINGER_MCP_13_y,RHandLandmark.RING_FINGER_MCP_13_z,RHandLandmark.RING_FINGER_PIP_14_x,RHandLandmark.RING_FINGER_PIP_14_y,RHandLandmark.RING_FINGER_PIP_14_z,RHandLandmark.RING_FINGER_DIP_15_x,RHandLandmark.RING_FINGER_DIP_15_y,RHandLandmark.RING_FINGER_DIP_15_z,RHandLandmark.RING_FINGER_TIP_16_x,RHandLandmark.RING_FINGER_TIP_16_y,RHandLandmark.RING_FINGER_TIP_16_z,RHandLandmark.PINKY_MCP_17_x,RHandLandmark.PINKY_MCP_17_y,RHandLandmark.PINKY_MCP_17_z,RHandLandmark.PINKY_PIP_18_x,RHandLandmark.PINKY_PIP_18_y,RHandLandmark.PINKY_PIP_18_z,RHandLandmark.PINKY_DIP_19_x,RHandLandmark.PINKY_DIP_19_y,RHandLandmark.PINKY_DIP_19_z,RHandLandmark.PINKY_TIP_20_x,RHandLandmark.PINKY_TIP_20_y,RHandLandmark.PINKY_TIP_20_z,LHandLandmark.WRIST_0_x,LHandLandmark.WRIST_0_y,LHandLandmark.WRIST_0_z,LHandLandmark.THUMB_CMC_1_x,LHandLandmark.THUMB_CMC_1_y,LHandLandmark.THUMB_CMC_1_z,LHandLandmark.THUMB_MCP_2_x,LHandLandmark.THUMB_MCP_2_y,LHandLandmark.THUMB_MCP_2_z,LHandLandmark.THUMB_IP_3_x,LHandLandmark.THUMB_IP_3_y,LHandLandmark.THUMB_IP_3_z,LHandLandmark.THUMB_TIP_4_x,LHandLandmark.THUMB_TIP_4_y,LHandLandmark.THUMB_TIP_4_z,LHandLandmark.INDEX_FINGER_MCP_5_x,LHandLandmark.INDEX_FINGER_MCP_5_y,LHandLandmark.INDEX_FINGER_MCP_5_z,LHandLandmark.INDEX_FINGER_PIP_6_x,LHandLandmark.INDEX_FINGER_PIP_6_y,LHandLandmark.INDEX_FINGER_PIP_6_z,LHandLandmark.INDEX_FINGER_DIP_7_x,LHandLandmark.INDEX_FINGER_DIP_7_y,LHandLandmark.INDEX_FINGER_DIP_7_z,LHandLandmark.INDEX_FINGER_TIP_8_x,LHandLandmark.INDEX_FINGER_TIP_8_y,LHandLandmark.INDEX_FINGER_TIP_8_z,LHandLandmark.MIDDLE_FINGER_MCP_9_x,LHandLandmark.MIDDLE_FINGER_MCP_9_y,LHandLandmark.MIDDLE_FINGER_MCP_9_z,LHandLandmark.MIDDLE_FINGER_PIP_10_x,LHandLandmark.MIDDLE_FINGER_PIP_10_y,LHandLandmark.MIDDLE_FINGER_PIP_10_z,LHandLandmark.MIDDLE_FINGER_DIP_11_x,LHandLandmark.MIDDLE_FINGER_DIP_11_y,LHandLandmark.MIDDLE_FINGER_DIP_11_z,LHandLandmark.MIDDLE_FINGER_TIP_12_x,LHandLandmark.MIDDLE_FINGER_TIP_12_y,LHandLandmark.MIDDLE_FINGER_TIP_12_z,LHandLandmark.RING_FINGER_MCP_13_x,LHandLandmark.RING_FINGER_MCP_13_y,LHandLandmark.RING_FINGER_MCP_13_z,LHandLandmark.RING_FINGER_PIP_14_x,LHandLandmark.RING_FINGER_PIP_14_y,LHandLandmark.RING_FINGER_PIP_14_z,LHandLandmark.RING_FINGER_DIP_15_x,LHandLandmark.RING_FINGER_DIP_15_y,LHandLandmark.RING_FINGER_DIP_15_z,LHandLandmark.RING_FINGER_TIP_16_x,LHandLandmark.RING_FINGER_TIP_16_y,LHandLandmark.RING_FINGER_TIP_16_z,LHandLandmark.PINKY_MCP_17_x,LHandLandmark.PINKY_MCP_17_y,LHandLandmark.PINKY_MCP_17_z,LHandLandmark.PINKY_PIP_18_x,LHandLandmark.PINKY_PIP_18_y,LHandLandmark.PINKY_PIP_18_z,LHandLandmark.PINKY_DIP_19_x,LHandLandmark.PINKY_DIP_19_y,LHandLandmark.PINKY_DIP_19_z,LHandLandmark.PINKY_TIP_20_x,LHandLandmark.PINKY_TIP_20_y,LHandLandmark.PINKY_TIP_20_z,PoseLandmark.NOSE_0_x,PoseLandmark.NOSE_0_y,PoseLandmark.NOSE_0_z,PoseLandmark.LEFT_EYE_INNER_1_x,PoseLandmark.LEFT_EYE_INNER_1_y,PoseLandmark.LEFT_EYE_INNER_1_z,PoseLandmark.LEFT_EYE_2_x,PoseLandmark.LEFT_EYE_2_y,PoseLandmark.LEFT_EYE_2_z,PoseLandmark.LEFT_EYE_OUTER_3_x,PoseLandmark.LEFT_EYE_OUTER_3_y,PoseLandmark.LEFT_EYE_OUTER_3_z,PoseLandmark.RIGHT_EYE_INNER_4_x,PoseLandmark.RIGHT_EYE_INNER_4_y,PoseLandmark.RIGHT_EYE_INNER_4_z,PoseLandmark.RIGHT_EYE_5_x,PoseLandmark.RIGHT_EYE_5_y,PoseLandmark.RIGHT_EYE_5_z,PoseLandmark.RIGHT_EYE_OUTER_6_x,PoseLandmark.RIGHT_EYE_OUTER_6_y,PoseLandmark.RIGHT_EYE_OUTER_6_z,PoseLandmark.LEFT_EAR_7_x,PoseLandmark.LEFT_EAR_7_y,PoseLandmark.LEFT_EAR_7_z,PoseLandmark.RIGHT_EAR_8_x,PoseLandmark.RIGHT_EAR_8_y,PoseLandmark.RIGHT_EAR_8_z,PoseLandmark.MOUTH_LEFT_9_x,PoseLandmark.MOUTH_LEFT_9_y,PoseLandmark.MOUTH_LEFT_9_z,PoseLandmark.MOUTH_RIGHT_10_x,PoseLandmark.MOUTH_RIGHT_10_y,PoseLandmark.MOUTH_RIGHT_10_z,PoseLandmark.LEFT_SHOULDER_11_x,PoseLandmark.LEFT_SHOULDER_11_y,PoseLandmark.LEFT_SHOULDER_11_z,PoseLandmark.RIGHT_SHOULDER_12_x,PoseLandmark.RIGHT_SHOULDER_12_y,PoseLandmark.RIGHT_SHOULDER_12_z,PoseLandmark.LEFT_ELBOW_13_x,PoseLandmark.LEFT_ELBOW_13_y,PoseLandmark.LEFT_ELBOW_13_z,PoseLandmark.RIGHT_ELBOW_14_x,PoseLandmark.RIGHT_ELBOW_14_y,PoseLandmark.RIGHT_ELBOW_14_z
1,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5531705617904663,0.4506368637084961,0.3511432111263275,0.5600747466087341,0.4548495411872864,0.38069191575050354,0.5629790425300598,0.45783570408821106,0.3807394206523895,0.5658524036407471,0.46095010638237,0.38058388233184814,0.5507977604866028,0.44623133540153503,0.3795996308326721,0.5479675531387329,0.44375184178352356,0.37963882088661194,0.5451585650444031,0.44133853912353516,0.3795466721057892,0.5689336657524109,0.4729594886302948,0.44864246249198914,0.5360888838768005,0.4444446265697479,0.4443381130695343,0.5543341040611267,0.460502564907074,0.36893603205680847,0.5444612503051758,0.45159295201301575,0.367144912481308,0.5848572850227356,0.5057762861251831,0.35073980689048767,0.4942135512828827,0.4451649487018585,0.373498797416687,0.6369003057479858,0.43136388063430786,0.21613705158233643,0.48764583468437195,0.363142192363739,0.27620434761047363
2,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502715110778809,0.448766827583313,0.22809220850467682,0.5584550499916077,0.4522152841091156,0.25905901193618774,0.5618540644645691,0.45492005348205566,0.2591415047645569,0.5651785731315613,0.45773711800575256,0.2589990198612213,0.5481197834014893,0.44418105483055115,0.2607029974460602,0.5450933575630188,0.4418584108352661,0.2607399821281433,0.5420711040496826,0.43957966566085815,0.2606382369995117,0.5697776079177856,0.46745121479034424,0.3506273329257965,0.5346380472183228,0.44137731194496155,0.3616377115249634,0.5529270768165588,0.45856934785842896,0.2562536895275116,0.541985273361206,0.45042845606803894,0.25889334082603455,0.5935125946998596,0.4936034083366394,0.3061195909976959,0.4938344359397888,0.441490113735199,0.3370376527309418,0.647646427154541,0.3938027322292328,0.2620934247970581,0.48627936840057373,0.3622058629989624,0.35951870679855347
3,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5535026788711548,0.4468080699443817,0.2831701636314392,0.5625105500221252,0.4510629177093506,0.31602948904037476,0.5660200715065002,0.45392823219299316,0.31610795855522156,0.5695067048072815,0.4568985402584076,0.3159927427768707,0.5522603392601013,0.4428420066833496,0.3168943226337433,0.5493423938751221,0.4406009912490845,0.31694185733795166,0.5464154481887817,0.4383948743343353,0.31684014201164246,0.5759965181350708,0.46748560667037964,0.39858153462409973,0.53957599401474,0.44098347425460815,0.3964989483356476,0.5559206008911133,0.4573880136013031,0.3073626458644867,0.5448764562606812,0.4491443336009979,0.3085777759552002,0.5987272262573242,0.49527281522750854,0.34248924255371094,0.4941800534725189,0.4416201710700989,0.3508097529411316,0.6518076658248901,0.3948304355144501,0.31996849179267883,0.48779645562171936,0.35433727502822876,0.3686992824077606
4,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5562251806259155,0.4412304162979126,0.35186153650283813,0.5644400715827942,0.4461158215999603,0.3882755935192108,0.5679528117179871,0.44918033480644226,0.3883085250854492,0.5714548230171204,0.45234811305999756,0.3881838321685791,0.5542980432510376,0.4378620386123657,0.38945692777633667,0.5513073801994324,0.43582260608673096,0.3895551264286041,0.5483097434043884,0.4338233470916748,0.3894500434398651,0.5773154497146606,0.4660336375236511,0.4731043875217438,0.5408579707145691,0.43947580456733704,0.4784570634365082,0.5584332942962646,0.45365747809410095,0.3742747902870178,0.5474468469619751,0.44556763768196106,0.3756398558616638,0.5986307263374329,0.4959328770637512,0.39903903007507324,0.4954042434692383,0.44183653593063354,0.4080274999141693,0.6497966051101685,0.40203943848609924,0.323122501373291,0.488353431224823,0.3597598373889923,0.35114559531211853
5,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5596640110015869,0.4355245530605316,0.309861958026886,0.5675827860832214,0.4409365952014923,0.34530940651893616,0.5711150169372559,0.444216251373291,0.34532392024993896,0.5746440291404724,0.44759973883628845,0.34513625502586365,0.5571654438972473,0.43224257230758667,0.3456374406814575,0.5539663434028625,0.4300917685031891,0.3457014858722687,0.5507727265357971,0.4279973804950714,0.3455953299999237,0.5795626044273376,0.4627997875213623,0.438611775636673,0.5421940684318542,0.43491047620773315,0.44408103823661804,0.5615649223327637,0.4486497938632965,0.3356080651283264,0.5501945614814758,0.4399999976158142,0.33635827898979187,0.6005315780639648,0.49681487679481506,0.3932171165943146,0.4963001310825348,0.4412757456302643,0.4049476385116577,0.6505246758460999,0.4125446379184723,0.2861948311328888,0.48903340101242065,0.36695975065231323,0.35171231627464294
6,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568043053150177,0.43024811148643494,0.2800035774707794,0.5748887062072754,0.43662527203559875,0.3064862787723541,0.5780333280563354,0.43999654054641724,0.30649232864379883,0.5811527371406555,0.4434663951396942,0.30626919865608215,0.5647704601287842,0.42791983485221863,0.3044320046901703,0.5615196824073792,0.42585262656211853,0.3044768273830414,0.5582963824272156,0.42385420203208923,0.3043402135372162,0.5836768746376038,0.4594883620738983,0.3613569438457489,0.5481077432632446,0.43158629536628723,0.355120986700058,0.569190263748169,0.4428361654281616,0.29369643330574036,0.5579414367675781,0.433953195810318,0.2914060056209564,0.6017372012138367,0.4962419271469116,0.28429141640663147,0.5004311203956604,0.44131720066070557,0.2843039631843567,0.657237708568573,0.4345547556877136,0.18170759081840515,0.4899847209453583,0.3864695429801941,0.24380995333194733
7,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5668283700942993,0.48919835686683655,0.37720343470573425,0.5727145075798035,0.5023928880691528,0.39515984058380127,0.5749168395996094,0.5052903294563293,0.3951570689678192,0.5771154165267944,0.5083045363426208,0.3949754238128662,0.5643481016159058,0.49541768431663513,0.39866936206817627,0.5610916018486023,0.49409887194633484,0.39874184131622314,0.5573946833610535,0.49285730719566345,0.398588627576828,0.5798581838607788,0.522072970867157,0.36760663986206055,0.5475879311561584,0.49848634004592896,0.4224371612071991,0.5667810440063477,0.49350470304489136,0.37541627883911133,0.5571552515029907,0.4862442910671234,0.3805517852306366,0.5963359475135803,0.5206284523010254,0.3037940561771393,0.4988313317298889,0.4901413917541504,0.32840219140052795,0.6434703469276428,0.451865017414093,0.1914510875940323,0.47745999693870544,0.4330912232398987,0.2282535433769226
8,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647751688957214,0.4799976050853729,0.3799076974391937,0.5711538791656494,0.4842701256275177,0.4001568853855133,0.5736532807350159,0.4872644543647766,0.40014195442199707,0.5761381983757019,0.49037596583366394,0.3999941051006317,0.5628154277801514,0.4759657382965088,0.4006214141845703,0.5597350597381592,0.4738137722015381,0.40067923069000244,0.5562622547149658,0.47183918952941895,0.40052446722984314,0.5794390439987183,0.5026305913925171,0.3968983292579651,0.5473067760467529,0.47724610567092896,0.41692009568214417,0.5653780102729797,0.48574888706207275,0.3755640387535095,0.5554139614105225,0.4761562645435333,0.3764406442642212,0.5962944030761719,0.5182096362113953,0.2925647795200348,0.49859216809272766,0.48005667328834534,0.29108938574790955,0.6468106508255005,0.4508862793445587,0.15929438173770905,0.47767961025238037,0.43873047828674316,0.1376044750213623
9,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5636356472969055,0.47035786509513855,0.3988289535045624,0.5702479481697083,0.47570115327835083,0.43150827288627625,0.5729424953460693,0.4787280261516571,0.4315170347690582,0.5756691098213196,0.48187369108200073,0.4313986003398895,0.5618099570274353,0.4675246775150299,0.43159085512161255,0.5589858889579773,0.4655054807662964,0.4316670596599579,0.5558645725250244,0.463620662689209,0.4315717816352844,0.5792341828346252,0.49589070677757263,0.49457529187202454,0.5455223917961121,0.47002819180488586,0.4985635578632355,0.5645120739936829,0.4778403341770172,0.41191530227661133,0.5544837117195129,0.4689379334449768,0.41239723563194275,0.5971941947937012,0.5213460326194763,0.39548254013061523,0.49599114060401917,0.4758189916610718,0.41264596581459045,0.6506696939468384,0.4459770619869232,0.28433579206466675,0.4864051342010498,0.42578089237213135,0.38025784492492676
10,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500697135925293,0.3436911702156067,7.638210064442319e-08,0.6584008932113647,0.33557307720184326,-0.00023678920115344226,0.6658814549446106,0.3245231509208679,0.0005055459914728999,0.67140132188797,0.3145371973514557,0.0009212012519128621,0.6760400533676147,0.30707868933677673,0.0015435006935149431,0.6598966717720032,0.3135095238685608,0.005486668087542057,0.6655833125114441,0.30101457238197327,0.005772285629063845,0.6712726354598999,0.29720306396484375,0.004953059833496809,0.6752122044563293,0.29613661766052246,0.0046529751271009445,0.658607542514801,0.31295245885849,0.005665571894496679,0.6647313833236694,0.3016135096549988,0.006955982651561499,0.6698407530784607,0.29846134781837463,0.005803563632071018,0.6740642189979553,0.2977103590965271,0.004936870187520981,0.6583894491195679,0.3133367598056793,0.0054964045993983746,0.6645656824111938,0.30283504724502563,0.007134588435292244,0.6692065000534058,0.29929181933403015,0.007446362636983395,0.673215389251709,0.2977209985256195,0.007505485322326422,0.658496081829071,0.3146028220653534,0.005087325815111399,0.6641572117805481,0.30431637167930603,0.007006044965237379,0.6683567762374878,0.3001028597354889,0.008499633520841599,0.6714280843734741,0.297706663608551,0.009618540294468403,0.5629357695579529,0.4576066732406616,0.3749261796474457,0.5699010491371155,0.46373820304870605,0.40323951840400696,0.573004424571991,0.4666522741317749,0.40326184034347534,0.5762161612510681,0.46968159079551697,0.40311187505722046,0.5611256957054138,0.45659616589546204,0.4043147563934326,0.5586787462234497,0.45520782470703125,0.40437546372413635,0.5555152297019958,0.4539042115211487,0.4042869508266449,0.5815512537956238,0.4876655638217926,0.46514174342155457,0.5445200800895691,0.46450337767601013,0.4658642113208771,0.5642412900924683,0.46878403425216675,0.38662174344062805,0.5539571642875671,0.46127548813819885,0.38873985409736633,0.5998548269271851,0.5193994641304016,0.3783933222293854,0.49597930908203125,0.47166523337364197,0.3994736671447754,0.6535467505455017,0.45404911041259766,0.2928975820541382,0.49257802963256836,0.44112762808799744,0.33563026785850525
