frame,class,RHandLandmark.WRIST_0_x,RHandLandmark.WRIST_0_y,RHandLandmark.WRIST_0_z,RHandLandmark.THUMB_CMC_1_x,RHandLandmark.THUMB_CMC_1_y,RHandLandmark.THUMB_CMC_1_z,RHandLandmark.THUMB_MCP_2_x,RHandLandmark.THUMB_MCP_2_y,RHandLandmark.THUMB_MCP_2_z,RHandLandmark.THUMB_IP_3_x,RHandLandmark.THUMB_IP_3_y,RHandLandmark.THUMB_IP_3_z,RHandLandmark.THUMB_TIP_4_x,RHandLandmark.THUMB_TIP_4_y,RHandLandmark.THUMB_TIP_4_z,RHandLandmark.INDEX_FINGER_MCP_5_x,RHandLandmark.INDEX_FINGER_MCP_5_y,RHandLandmark.INDEX_FINGER_MCP_5_z,RHandLandmark.INDEX_FINGER_PIP_6_x,RHandLandmark.INDEX_FINGER_PIP_6_y,RHandLandmark.INDEX_FINGER_PIP_6_z,RHandLandmark.INDEX_FINGER_DIP_7_x,RHandLandmark.INDEX_FINGER_DIP_7_y,RHandLandmark.INDEX_FINGER_DIP_7_z,RHandLandmark.INDEX_FINGER_TIP_8_x,RHandLandmark.INDEX_FINGER_TIP_8_y,RHandLandmark.INDEX_FINGER_TIP_8_z,RHandLandmark.MIDDLE_FINGER_MCP_9_x,RHandLandmark.MIDDLE_FINGER_MCP_9_y,RHandLandmark.MIDDLE_FINGER_MCP_9_z,RHandLandmark.MIDDLE_FINGER_PIP_10_x,RHandLandmark.MIDDLE_FINGER_PIP_10_y,RHandLandmark.MIDDLE_FINGER_PIP_10_z,RHandLandmark.MIDDLE_FINGER_DIP_11_x,RHandLandmark.MIDDLE_FINGER_DIP_11_y,RHandLandmark.MIDDLE_FINGER_DIP_11_z,RHandLandmark.MIDDLE_FINGER_TIP_12_x,RHandLandmark.MIDDLE_FINGER_TIP_12_y,RHandLandmark.MIDDLE_FINGER_TIP_12_z,RHandLandmark.RING_FINGER_MCP_13_x,RHandLandmark.RING_FINGER_MCP_13_y,RHandLandmark.RING_FINGER_MCP_13_z,RHandLandmark.RING_FINGER_PIP_14_x,RHandLandmark.RING_FINGER_PIP_14_y,RHandLandmark.RING_FINGER_PIP_14_z,RHandLandmark.RING_FINGER_DIP_15_x,RHandLandmark.RING_FINGER_DIP_15_y,RHandLandmark.RING_FINGER_DIP_15_z,RHandLandmark.RING_FINGER_TIP_16_x,RHandLandmark.RING_FINGER_TIP_16_y,RHandLandmark.RING_FINGER_TIP_16_z,RHandLandmark.PINKY_MCP_17_x,RHandLandmark.PINKY_MCP_17_y,RHandLandmark.PINKY_MCP_17_z,RHandLandmark.PINKY_PIP_18_x,RHandLandmark.PINKY_PIP_18_y,RHandLandmark.PINKY_PIP_18_z,RHandLandmark.PINKY_DIP_19_x,RHandLandmark.PINKY_DIP_19_y,RHandLandmark.PINKY_DIP_19_z,RHandLandmark.PINKY_TIP_20_x,RHandLandmark.PINKY_TIP_20_y,RHandLandmark.PINKY_TIP_20_z,LHandLandmark.WRIST_0_x,LHandLandmark.WRIST_0_y,LHandLandmark.WRIST_0_z,LHandLandmark.THUMB_CMC_1_x,LHandLandmark.THUMB_CMC_1_y,LHandLandmark.THUMB_CMC_1_z,LHandLandmark.THUMB_MCP_2_x,LHandLandmark.THUMB_MCP_2_y,LHandLandmark.THUMB_MCP_2_z,LHandLandmark.THUMB_IP_3_x,LHandLandmark.THUMB_IP_3_y,LHandLandmark.THUMB_IP_3_z,LHandLandmark.THUMB_TIP_4_x,LHandLandmark.THUMB_TIP_4_y,LHandLandmark.THUMB_TIP_4_z,LHandLandmark.INDEX_FINGER_MCP_5_x,LHandLandmark.INDEX_FINGER_MCP_5_y,LHandLandmark.INDEX_FINGER_MCP_5_z,LHandLandmark.INDEX_FINGER_PIP_6_x,LHandLandmark.INDEX_FINGER_PIP_6_y,LHandLandmark.INDEX_FINGER_PIP_6_z,LHandLandmark.INDEX_FINGER_DIP_7_x,LHandLandmark.INDEX_FINGER_DIP_7_y,LHandLandmark.INDEX_FINGER_DIP_7_z,LHandLandmark.INDEX_FINGER_TIP_8_x,LHandLandmark.INDEX_FINGER_TIP_8_y,LHandLandmark.INDEX_FINGER_TIP_8_z,LHandLandmark.MIDDLE_FINGER_MCP_9_x,LHandLandmark.MIDDLE_FINGER_MCP_9_y,LHandLandmark.MIDDLE_FINGER_MCP_9_z,LHandLandmark.MIDDLE_FINGER_PIP_10_x,LHandLandmark.MIDDLE_FINGER_PIP_10_y,LHandLandmark.MIDDLE_FINGER_PIP_10_z,LHandLandmark.MIDDLE_FINGER_DIP_11_x,LHandLandmark.MIDDLE_FINGER_DIP_11_y,LHandLandmark.MIDDLE_FINGER_DIP_11_z,LHandLandmark.MIDDLE_FINGER_TIP_12_x,LHandLandmark.MIDDLE_FINGER_TIP_12_y,LHandLandmark.MIDDLE_FINGER_TIP_12_z,LHandLandmark.RING_FINGER_MCP_13_x,LHandLandmark.RING_FINGER_MCP_13_y,LHandLandmark.RING_FINGER_MCP_13_z,LHandLandmark.RING_FINGER_PIP_14_x,LHandLandmark.RING_FINGER_PIP_14_y,LHandLandmark.RING_FINGER_PIP_14_z,LHandLandmark.RING_FINGER_DIP_15_x,LHandLandmark.RING_FINGER_DIP_15_y,LHandLandmark.RING_FINGER_DIP_15_z,LHandLandmark.RING_FINGER_TIP_16_x,LHandLandmark.RING_FINGER_TIP_16_y,LHandLandmark.RING_FINGER_TIP_16_z,LHandLandmark.PINKY_MCP_17_x,LHandLandmark.PINKY_MCP_17_y,LHandLandmark.PINKY_MCP_17_z,LHandLandmark.PINKY_PIP_18_x,LHandLandmark.PINKY_PIP_18_y,LHandLandmark.PINKY_PIP_18_z,LHandLandmark.PINKY_DIP_19_x,LHandLandmark.PINKY_DIP_19_y,LHandLandmark.PINKY_DIP_19_z,LHandLandmark.PINKY_TIP_20_x,LHandLandmark.PINKY_TIP_20_y,LHandLandmark.PINKY_TIP_20_z,PoseLandmark.NOSE_0_x,PoseLandmark.NOSE_0_y,PoseLandmark.NOSE_0_z,PoseLandmark.LEFT_EYE_INNER_1_x,PoseLandmark.LEFT_EYE_INNER_1_y,PoseLandmark.LEFT_EYE_INNER_1_z,PoseLandmark.LEFT_EYE_2_x,PoseLandmark.LEFT_EYE_2_y,PoseLandmark.LEFT_EYE_2_z,PoseLandmark.LEFT_EYE_OUTER_3_x,PoseLandmark.LEFT_EYE_OUTER_3_y,PoseLandmark.LEFT_EYE_OUTER_3_z,PoseLandmark.RIGHT_EYE_INNER_4_x,PoseLandmark.RIGHT_EYE_INNER_4_y,PoseLandmark.RIGHT_EYE_INNER_4_z,PoseLandmark.RIGHT_EYE_5_x,PoseLandmark.RIGHT_EYE_5_y,PoseLandmark.RIGHT_EYE_5_z,PoseLandmark.RIGHT_EYE_OUTER_6_x,PoseLandmark.RIGHT_EYE_OUTER_6_y,PoseLandmark.RIGHT_EYE_OUTER_6_z,PoseLandmark.LEFT_EAR_7_x,PoseLandmark.LEFT_EAR_7_y,PoseLandmark.LEFT_EAR_7_z,PoseLandmark.RIGHT_EAR_8_x,PoseLandmark.RIGHT_EAR_8_y,PoseLandmark.RIGHT_EAR_8_z,PoseLandmark.MOUTH_LEFT_9_x,PoseLandmark.MOUTH_LEFT_9_y,PoseLandmark.MOUTH_LEFT_9_z,PoseLandmark.MOUTH_RIGHT_10_x,PoseLandmark.MOUTH_RIGHT_10_y,PoseLandmark.MOUTH_RIGHT_10_z,PoseLandmark.LEFT_SHOULDER_11_x,PoseLandmark.LEFT_SHOULDER_11_y,PoseLandmark.LEFT_SHOULDER_11_z,PoseLandmark.RIGHT_SHOULDER_12_x,PoseLandmark.RIGHT_SHOULDER_12_y,PoseLandmark.RIGHT_SHOULDER_12_z,PoseLandmark.LEFT_ELBOW_13_x,PoseLandmark.LEFT_ELBOW_13_y,PoseLandmark.LEFT_ELBOW_13_z,PoseLandmark.RIGHT_ELBOW_14_x,PoseLandmark.RIGHT_ELBOW_14_y,PoseLandmark.RIGHT_ELBOW_14_z
1,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49303609132766724,0.29956090450286865,-0.772696852684021,0.5080615282058716,0.2571829557418823,-0.721229612827301,0.5167161822319031,0.2584404945373535,-0.7215296626091003,0.5257710814476013,0.2602670192718506,-0.7215107679367065,0.4730588495731354,0.25503188371658325,-0.7305535674095154,0.46135014295578003,0.2552978992462158,-0.7307500839233398,0.4503336548805237,0.2571908235549927,-0.7312929034233093,0.5389685034751892,0.2858303189277649,-0.4171333611011505,0.43401557207107544,0.2838149666786194,-0.4522785544395447,0.5125139355659485,0.3481637239456177,-0.6593737006187439,0.4697788953781128,0.34617185592651367,-0.6695175766944885,0.61663818359375,0.5751312971115112,-0.21100999414920807,0.3539096415042877,0.5681391954421997,-0.2820321321487427,0.6381524801254272,0.8912241458892822,-0.16088828444480896,0.3022788166999817,0.8764353394508362,-0.2990720272064209
2,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4928802251815796,0.2988947629928589,-0.7706085443496704,0.5081190466880798,0.25722870230674744,-0.720129132270813,0.5170249342918396,0.25854262709617615,-0.7204456925392151,0.5258810520172119,0.2604118883609772,-0.720428466796875,0.4730709195137024,0.2551538348197937,-0.728839099407196,0.4613456130027771,0.2555556297302246,-0.7290287017822266,0.4502503573894501,0.25743338465690613,-0.7296026349067688,0.5394487380981445,0.2857767641544342,-0.4168904423713684,0.4341438412666321,0.28359588980674744,-0.4489153027534485,0.5124947428703308,0.34838423132896423,-0.6577755808830261,0.46968281269073486,0.3466991186141968,-0.6668005585670471,0.6172619462013245,0.57481849193573,-0.2113722711801529,0.35403263568878174,0.566901683807373,-0.2831353545188904,0.6387520432472229,0.8919358253479004,-0.18052327632904053,0.30056032538414,0.8729552030563354,-0.32324835658073425
3,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4924478530883789,0.298348993062973,-0.7889798283576965,0.5081103444099426,0.2573776841163635,-0.7404377460479736,0.5171113610267639,0.2587722837924957,-0.7407498359680176,0.5258790254592896,0.26062437891960144,-0.7407289147377014,0.47302985191345215,0.25522708892822266,-0.7465381622314453,0.461308091878891,0.25565260648727417,-0.7467344999313354,0.4501173496246338,0.25748011469841003,-0.7473241090774536,0.5395241975784302,0.2856546640396118,-0.4378683567047119,0.4342990815639496,0.28295111656188965,-0.4589000642299652,0.5123670697212219,0.34844353795051575,-0.6755837202072144,0.4694285988807678,0.3467708230018616,-0.6816806793212891,0.6178004741668701,0.5733616948127747,-0.23776781558990479,0.35416463017463684,0.5655673742294312,-0.2863833010196686,0.6400682330131531,0.8918448686599731,-0.21227145195007324,0.29778406023979187,0.8705691695213318,-0.3531857430934906
4,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4921934902667999,0.2979455590248108,-0.7878482937812805,0.5080087184906006,0.2575037479400635,-0.7395836710929871,0.5171182155609131,0.2589433193206787,-0.739879310131073,0.5258228778839111,0.2607401907444,-0.7398375868797302,0.4729457199573517,0.25539344549179077,-0.7459023594856262,0.46119120717048645,0.25589627027511597,-0.7461038827896118,0.449925035238266,0.2576761841773987,-0.7467001676559448,0.5395110249519348,0.28549253940582275,-0.43694156408309937,0.4343227446079254,0.28277233242988586,-0.4561319351196289,0.5122758150100708,0.3484695851802826,-0.6734992265701294,0.469269722700119,0.34690484404563904,-0.678859531879425,0.6180359125137329,0.5707572102546692,-0.23477573692798615,0.3542429208755493,0.5638362169265747,-0.28145599365234375,0.6407817006111145,0.8892320990562439,-0.2033308744430542,0.29664146900177,0.8680400848388672,-0.34709200263023376
5,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4917316436767578,0.29810842871665955,-0.7693285346031189,0.5078362226486206,0.25856757164001465,-0.7237119078636169,0.5171077251434326,0.2600141167640686,-0.7240000367164612,0.5256321430206299,0.261530339717865,-0.7239654660224915,0.4726725220680237,0.2563955783843994,-0.7286567687988281,0.4609762132167816,0.2570006549358368,-0.7288331389427185,0.44959041476249695,0.25865787267684937,-0.7294027209281921,0.5394496917724609,0.28560078144073486,-0.43319016695022583,0.4343605637550354,0.28310585021972656,-0.447170615196228,0.5119802355766296,0.3492160439491272,-0.659815788269043,0.4687121510505676,0.34831154346466064,-0.6641932725906372,0.6188892722129822,0.5699523091316223,-0.2331191450357437,0.35560280084609985,0.5625802874565125,-0.2782732844352722,0.642235517501831,0.889276921749115,-0.20070932805538177,0.2952798902988434,0.8640754222869873,-0.34059590101242065
6,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49120551347732544,0.2981320321559906,-0.8608802556991577,0.5077282190322876,0.2591751217842102,-0.8136687278747559,0.5171012282371521,0.2607130706310272,-0.8138980269432068,0.5255155563354492,0.2620944082736969,-0.813823938369751,0.4725501835346222,0.2567465603351593,-0.8183221220970154,0.4608829617500305,0.2572656571865082,-0.8185468912124634,0.4494432210922241,0.25879332423210144,-0.8190857768058777,0.5394286513328552,0.2857780456542969,-0.5072236061096191,0.4344255030155182,0.2830880880355835,-0.5218656063079834,0.5113564133644104,0.3495614528656006,-0.7439756393432617,0.4680793881416321,0.34859153628349304,-0.7487118244171143,0.619018018245697,0.5695059895515442,-0.28158479928970337,0.35669025778770447,0.5611481666564941,-0.3175334632396698,0.6429884433746338,0.8929025530815125,-0.2534424960613251,0.29197192192077637,0.8626928925514221,-0.3463599979877472
7,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4908739924430847,0.29829278588294983,-0.8529618978500366,0.5076307654380798,0.2594921290874481,-0.8101925253868103,0.5170948505401611,0.2610626816749573,-0.8105128407478333,0.5254225134849548,0.2623697519302368,-0.810858428478241,0.47224748134613037,0.2571175992488861,-0.8001165390014648,0.4605788290500641,0.257658451795578,-0.8002501130104065,0.4490557312965393,0.2591705918312073,-0.8006168603897095,0.5394214391708374,0.28591927886009216,-0.4799817204475403,0.4344083070755005,0.28335198760032654,-0.45880573987960815,0.5110088586807251,0.3500191569328308,-0.7347495555877686,0.4674832820892334,0.3495641350746155,-0.7216491103172302,0.619179368019104,0.5696319937705994,-0.2748972475528717,0.3569740355014801,0.5606272220611572,-0.24394406378269196,0.6434555649757385,0.8987742066383362,-0.24081312119960785,0.286479651927948,0.8597541451454163,-0.3133626878261566
8,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4903038442134857,0.2982807457447052,-0.8575422763824463,0.5070321559906006,0.25952279567718506,-0.8111297488212585,0.5169154405593872,0.26111188530921936,-0.8113742470741272,0.5249667167663574,0.26238885521888733,-0.8113654255867004,0.47173935174942017,0.2572198510169983,-0.8089655041694641,0.46020305156707764,0.25780346989631653,-0.8090927004814148,0.44864746928215027,0.2593638002872467,-0.8095323443412781,0.5392424464225769,0.28583085536956787,-0.49700140953063965,0.4344101548194885,0.2834731340408325,-0.4817591905593872,0.5104691982269287,0.3500925600528717,-0.7398696541786194,0.4670228362083435,0.3498997986316681,-0.7354845404624939,0.6192794442176819,0.5696108937263489,-0.2899646759033203,0.35733893513679504,0.5579679608345032,-0.25798529386520386,0.6437329053878784,0.8995155096054077,-0.24810396134853363,0.2840825021266937,0.8483217358589172,-0.3704374134540558
9,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48994117975234985,0.29833126068115234,-0.8369907736778259,0.506492018699646,0.2595350742340088,-0.7899919152259827,0.5166639685630798,0.26111721992492676,-0.7902483344078064,0.5244893431663513,0.26238003373146057,-0.7902212142944336,0.47150251269340515,0.2574644088745117,-0.7909024357795715,0.4600674510002136,0.25810155272483826,-0.7910602688789368,0.4485534429550171,0.2597472369670868,-0.7915498614311218,0.5391704440116882,0.285322368144989,-0.4860500991344452,0.43471062183380127,0.2838178277015686,-0.47318145632743835,0.5101275444030762,0.3501454293727875,-0.720947265625,0.46702349185943604,0.35056331753730774,-0.7235950827598572,0.6195389032363892,0.5675680041313171,-0.2749185264110565,0.3611498773097992,0.550337553024292,-0.2599562108516693,0.6445710062980652,0.8984782099723816,-0.22730833292007446,0.27548280358314514,0.8317720890045166,-0.45382463932037354
10,dolor_cabeza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4896059036254883,0.29932844638824463,-0.7618737816810608,0.5064324140548706,0.25965598225593567,-0.7188636660575867,0.5166726112365723,0.2612821161746979,-0.7191298604011536,0.524495542049408,0.26253172755241394,-0.7190128564834595,0.47106245160102844,0.25758758187294006,-0.7151947021484375,0.4595737159252167,0.25821611285209656,-0.7152280807495117,0.4482176601886749,0.2598123550415039,-0.7156506776809692,0.5399335622787476,0.28568392992019653,-0.4223984479904175,0.4347149431705475,0.2841256558895111,-0.3974917531013489,0.5099910497665405,0.3519292175769806,-0.6515435576438904,0.4666409492492676,0.35229596495628357,-0.646350085735321,0.6195055246353149,0.5649560689926147,-0.21399323642253876,0.3620639741420746,0.5449206233024597,-0.22925019264221191,0.6447324156761169,0.9015457034111023,-0.15817001461982727,0.26173391938209534,0.8295199871063232,-0.5134842991828918
